A-biljetten	A-biljet	NOU(comm,pl)	NOU
A-bommen	A-bom	NOU(comm,pl)	NOU
A-omroepen	A-omroep	NOU(comm,pl)	NOU
ABC-wapens	ABC-wapens	NOU(comm,pl)	NOU
AJC-ers	AJC'er	NOU(comm,pl)	NOU
AOW'ers	AOW'er	NOU(comm,pl)	NOU
AOW-uitkeringen	AOW-uitkering	NOU(comm,pl)	NOU
AROB-rechters	AROB-rechter	NOU(comm,pl)	NOU
Aarlenaars	Aarlenaar	NOU(comm,pl)	NOU
Aarlenaren	Aarlenaar	NOU(comm,pl)	NOU
Afghanen	Afghaan	NOU(comm,pl)	NOU
Afrikanen	Afrikaan	NOU(comm,pl)	NOU
Afrikaners	Afrikaner	NOU(comm,pl)	NOU
Albanezen	Albanees	NOU(comm,pl)	NOU
Algerijnen	Algerijn	NOU(comm,pl)	NOU
Alzheimerpatienten	Alzheimerpatiënt	NOU(comm,pl)	NOU
Alzheimerpatiënten	Alzheimerpatiënt	NOU(comm,pl)	NOU
Ambonezen	Ambonees	NOU(comm,pl)	NOU
Amerikanen	Amerikaan	NOU(comm,pl)	NOU
Amsterdammers	Amsterdammer	NOU(comm,pl)	NOU
Andorrezen	Andorrees	NOU(comm,pl)	NOU
Angolezen	Angolees	NOU(comm,pl)	NOU
Anguillanen	Anguillaan	NOU(comm,pl)	NOU
Antwerpenaars	Antwerpenaar	NOU(comm,pl)	NOU
Antwerpenaren	Antwerpenaar	NOU(comm,pl)	NOU
Arabieren	Arabier	NOU(comm,pl)	NOU
Arameeers	arameeër	NOU(comm,pl)	NOU
Arameeërs	arameeër	NOU(comm,pl)	NOU
Arbo-diensten	Arbo-dienst	NOU(comm,pl)	NOU
Arbodiensten	Arbo-dienst	NOU(comm,pl)	NOU
Arelaars	Arelaar	NOU(comm,pl)	NOU
Arelaren	Arelaar	NOU(comm,pl)	NOU
Argentijnen	Argentijn	NOU(comm,pl)	NOU
Ariers	ariër	NOU(comm,pl)	NOU
Arierverklaringen	ariërverklaring	NOU(comm,pl)	NOU
Ariërs	ariër	NOU(comm,pl)	NOU
Ariërverklaringen	ariërverklaring	NOU(comm,pl)	NOU
Armeniers	Armeniër	NOU(comm,pl)	NOU
Armeniërs	Armeniër	NOU(comm,pl)	NOU
Arnhemmers	Arnhemmer	NOU(comm,pl)	NOU
Arnhemsen	Arnhemse	NOU(comm,pl)	NOU
Assenaars	Assenaar	NOU(comm,pl)	NOU
Assers	Asser	NOU(comm,pl)	NOU
Atheners	Athener	NOU(comm,pl)	NOU
Atjeeers	Atjeeër	NOU(comm,pl)	NOU
Atjeeërs	Atjeeër	NOU(comm,pl)	NOU
Atjehers	Atjeher	NOU(comm,pl)	NOU
Augiasstallen	Augiasstal	NOU(comm,pl)	NOU
Aussies	Aussie	NOU(comm,pl)	NOU
Australiers	Australiër	NOU(comm,pl)	NOU
Australiërs	Australiër	NOU(comm,pl)	NOU
Avondmaalstafels	Avondmaalstafel	NOU(comm,pl)	NOU
Avondmaalsvieringen	Avondmaalsviering	NOU(comm,pl)	NOU
Azerbeidzjanen	Azerbeidzjaan	NOU(comm,pl)	NOU
Azeri's	Azeri	NOU(comm,pl)	NOU
Aziaten	Aziaat	NOU(comm,pl)	NOU
Azteken	azteek	NOU(comm,pl)	NOU
B-omroepen	B-omroep	NOU(comm,pl)	NOU
B-wegen	B-weg	NOU(comm,pl)	NOU
BTW-tarieven	BTW-tarief	NOU(comm,pl)	NOU
Bahamanen	Bahamaan	NOU(comm,pl)	NOU
Bahreiners	Bahreiner	NOU(comm,pl)	NOU
Bahreini's	Bahreini	NOU(comm,pl)	NOU
Balinezen	Balinees	NOU(comm,pl)	NOU
Bantoes	bantoe	NOU(comm,pl)	NOU
Barbadanen	Barbadaan	NOU(comm,pl)	NOU
Bataven	Bataaf	NOU(comm,pl)	NOU
Batavieren	Batavier	NOU(comm,pl)	NOU
Beieren	Beier	NOU(comm,pl)	NOU
Belauers	Belauer	NOU(comm,pl)	NOU
Belgen	Belg	NOU(comm,pl)	NOU
Belgenmoppen	belgenmop	NOU(comm,pl)	NOU
Belizanen	Belizaan	NOU(comm,pl)	NOU
Bengalezen	Bengalees	NOU(comm,pl)	NOU
Beotiers	Beotiër	NOU(comm,pl)	NOU
Beotiërs	Beotiër	NOU(comm,pl)	NOU
Bergenaars	Bergenaar	NOU(comm,pl)	NOU
Bergenaren	Bergenaar	NOU(comm,pl)	NOU
Bhutanen	Bhutaan	NOU(comm,pl)	NOU
Birmanen	Birmaan	NOU(comm,pl)	NOU
Birmezen	Birmees	NOU(comm,pl)	NOU
Bohemers	Bohemer	NOU(comm,pl)	NOU
Bolivianen	Boliviaan	NOU(comm,pl)	NOU
Bosjesmannen	bosjesman	NOU(comm,pl)	NOU
Bosniers	Bosniër	NOU(comm,pl)	NOU
Bosniërs	Bosniër	NOU(comm,pl)	NOU
Bosschenaars	Bosschenaar	NOU(comm,pl)	NOU
Bosschenaren	Bosschenaar	NOU(comm,pl)	NOU
Bourgondiers	Bourgondiër	NOU(comm,pl)	NOU
Bourgondiërs	Bourgondiër	NOU(comm,pl)	NOU
Brabanders	Brabander	NOU(comm,pl)	NOU
Brazilianen	Braziliaan	NOU(comm,pl)	NOU
Bretoenen	Bretoen	NOU(comm,pl)	NOU
Bretons	Breton	NOU(comm,pl)	NOU
Britten	Brit	NOU(comm,pl)	NOU
Bruggelingen	Bruggeling	NOU(comm,pl)	NOU
Bruneiers	Bruneier	NOU(comm,pl)	NOU
Brusselaars	Brusselaar	NOU(comm,pl)	NOU
Brusselaren	Brusselaar	NOU(comm,pl)	NOU
Bulgaren	Bulgaar	NOU(comm,pl)	NOU
Byzantijnen	Byzantijn	NOU(comm,pl)	NOU
C-omroepen	C-omroep	NOU(comm,pl)	NOU
CAO-onderhandelingen	CAO-onderhandelingen	NOU(comm,pl)	NOU
CBS-cijfers	CBS-cijfer	NOU(comm,pl)	NOU
CO-emissies	CO-emissie	NOU(comm,pl)	NOU
CVP-ministers	CVP-minister	NOU(comm,pl)	NOU
Cambodjanen	Cambodjaan	NOU(comm,pl)	NOU
Canadezen	Canadees	NOU(comm,pl)	NOU
Cartesianen	cartesiaan	NOU(comm,pl)	NOU
Catalanen	Catalaan	NOU(comm,pl)	NOU
Caymaneilanders	Caymaneilander	NOU(comm,pl)	NOU
Cerberussen	Cerberus	NOU(comm,pl)	NOU
Chaldeeen	Chaldeeën	NOU(comm,pl)	NOU
Chaldeeers	Chaldeeër	NOU(comm,pl)	NOU
Chaldeeën	Chaldeeën	NOU(comm,pl)	NOU
Chaldeeërs	Chaldeeër	NOU(comm,pl)	NOU
Chilenen	Chileen	NOU(comm,pl)	NOU
Chinezen	Chinees	NOU(comm,pl)	NOU
Christusbeelden	Christusbeeld	NOU(comm,pl)	NOU
Christuskoppen	Christuskop	NOU(comm,pl)	NOU
