nylonkoord	nylonkoord	NOU(comm,sg,n)	NOU
weke	week	ADJ(quali,pos,inflected)	ADJ
pointillistische	pointillistisch	ADJ(quali,pos,inflected)	ADJ
onderwijsstelsel	onderwijsstelsel	NOU(comm,sg,n)	NOU
ichtyologie	ichtyologie	NOU(comm,sg,f)	NOU
benuttigen	benuttigen	VRB(mai,ind,pres,1/2/3,pl,trs)	VRB
geringschatten	geringschatten	VRB(mai,ind,pres,1/2/3,pl,trs)	VRB
dealernet	dealernet	NOU(comm,sg,n)	NOU
trekbal	trekbal	NOU(comm,sg,m)	NOU
bridgewedstrijd	bridgewedstrijd	NOU(comm,sg,m)	NOU
leukoplast	leukoplast	NOU(comm,sg,m/n)	NOU
rechtmaken	rechtmaken	VRB(mai,ind,pres,1/2/3,pl,trs)	VRB
bazuingeschal	bazuingeschal	NOU(comm,sg,n)	NOU
procederen	procederen	VRB(mai,inf,withoutt,withoutp,withoutn,int)	VRB
zenuwberoerte	zenuwberoerte	NOU(comm,sg,f)	NOU
boks	boksen	VRB(mai,ind,pres,1,sg,trs/int)	VRB
knipperde	knipperen	VRB(mai,ind,impf,1/2/3,sg,int)	VRB
asemmer	asemmer	NOU(comm,sg,m)	NOU
gieten	gieten	VRB(mai,ind,pres,1/2/3,pl,trs)	VRB
manen	manen	VRB(mai,inf,withoutt,withoutp,withoutn,trs)	VRB
manken	manken	VRB(mai,inf,withoutt,withoutp,withoutn,int)	VRB
sententieust	sententieus	ADJ(quali,sup,basic)	ADJ
consumeerde	consumeren	VRB(mai,ind,impf,1/2/3,sg,trs)	VRB
Marconi	Marconi	NOU(prop,sg,-)	NOU
overhang	overhangen	VRB(mai,ind,pres,1,sg,int)	VRB
links-socialistisch	links-socialistisch	ADJ(quali,pos,basic)	ADJ
jongden	jongen	VRB(mai,ind,impf,1/2/3,pl,int)	VRB
principiële	principieel	ADJ(quali,pos,inflected)	ADJ
substituut	substituut	NOU(comm,sg,n)	NOU
massa-uitsterving	massa-uitsterving	NOU(comm,sg,f)	NOU
doorjaagden	doorjagen	VRB(mai,ind,impf,1/2/3,pl,int)	VRB
slijmlaag	slijmlaag	NOU(comm,sg,mf)	NOU
goedwillende	goedwillend	ADJ(quali,pos,inflected)	ADJ
klikklak	klikklakken	VRB(mai,ind,pres,1,sg,int)	VRB
vertroosting	vertroosting	NOU(comm,sg,f)	NOU
bewaarkluis	bewaarkluis	NOU(comm,sg,mf)	NOU
opgedreund	opdreunen	VRB(mai,part,past,withoutp,withoutn,trs)	VRB
Bandler	Bandler	NOU(prop,sg,-)	NOU
koningsnummer	koningsnummer	NOU(comm,sg,n)	NOU
openingsdag	openingsdag	NOU(comm,sg,m)	NOU
bespijkerde	bespijkeren	VRB(mai,ind,impf,1/2/3,sg,trs)	VRB
rechts-conservatieve	rechts-conservatief	ADJ(quali,pos,inflected)	ADJ
presseer	presseren	VRB(mai,ind,pres,1,sg,trs/int)	VRB
afvoerpijpen	afvoerpijp	NOU(comm,pl,mf)	NOU
occlusieven	occlusief	NOU(comm,pl,mf)	NOU
must	must	NOU(comm,sg,m)	NOU
narwallen	narwal	NOU(comm,pl,m)	NOU
