Tag	OED
*	Adv.
ABL	pron.
ABN	Pron.
ABX	Pron.
AP	Pron.
AP$	Pron.
BE	Pron.|Adj.
BED	v.
BEDZ	v.
BEG	v.
BEM	v.
BEN	v.
BER	v.
BEZ	v.
CC	Conj.
CD	Adj.|n.|adv.
CS	Conj.
DO	v.
DOD	v.
DOZ	v.
DT	Pron.
DT$	Pron.
DTI	Pron.
DTS	Pron.
DTX	Pron.
HV	v.
HVD	v.
HVG	v.
HVN	v.
HVZ	v.
IN	Prep.
JJ	Adj.
JJ$	Adj.
JJ+JJ	Adj.
JJR	Adj.
JJS	Adj.
JJT	Adj.
MD	v.
NN	n.
NN$	n.
NN+NN	n.
NNS	n.
NNS$	n.
NP	n.
NP$	n.
NP+BEZ	n.
NP+HVZ	n.
NPS	n.
NPS$	n.
NR	n.|adv.
NR$	n.
NRS	n.
OD	Adj.
PN	n.|pron.
PN$	n.
PN+BEZ	n.
PN+HVZ	n.
PP$	Pron.|adj.
PP$$	Pron.
PPL	Pron.
PPLS	Pron.
PPO	Pron,
PPS	Pron.
PPSS	Pron.
QL	Adv.
QLP	Adv.
RB	Adv.
RBR	Adv.
RBT	Adv.
RN	Adv.
RP	Adv.|prep.
UH	Int.
VB	v.
VBD	v.
VBG	v.
VBN	v.
VBZ	v.
WDT	Pron.
WP$	Pron.
WPO	Pron.
WPS	Pron.
WQL	Adv.
WRB	Adv.
